TOMAR MEDIDAS EN,SECTOR,TALLA S,TALLA S,TALLA M,TALLA M,TALLA L,TALLA L,TALLA XL,TALLA XL
SECTOR,ABREVIATURA,38,40,42,44,46,48,50,52
BUSTO,B,40,43,45,48,50,53,55,58
TALLE DE ESPALDA,TE,41,"41,5",42,"42,5",43,"43,5",44,"44,5"
ANCHO DE ESPALDA,AE,34,36,37,39,40,42,43,46
COSTADO,CO,19,"19,1","19,3","19,4","19,5","19,7","19,8",20
ALTO DE BUSTO,AB,24,25,26,27,28,29,30,31
BUSTO A BUSTO,BB,"18,5",19,"19,5",20,"20,5",21,"21,5",22
CINTURA,CT,32,34,36,38,40,43,45,47
CADERA,CD,41,44,47,50,52,55,57,60
CINTURA A LA CADERA,CC,16,"16,5",17,18,"18,5",19,20,20
CUELLO,CU,34,35,36,37,38,39,40,41
LARGO DE MANGA,LM,54,55,56,57,58,59,60,61