EDAD ,2,4,6,8,10,12,14
CONTORNO DE CUELLO,"24,5","26,5","28,5","30,5","32,5","34,5","36,5"
CONTORNO DE PECHO ,54,58,62,66,72,76,80
CONTORNO DE CINTURA,50,53,56,59,61,63,65
CONTORNO DE CADERA ,58,62,66,70,74,78,82
LARGO DE TALLE ,"18,5","21,5","24,5","27,5","29,5","31,5",33
LARGO A CADERA,10,"11,5",13,"14,5",16,"17,5",19
LARGO A RODILLA,"32,5","36,75","39,5",43,"46,5",50,"53,5"
LARGO HOMBRO,"7,2",8,"8,7","9,3","9,9","10,5",11
LARGO DE BRAZO,30,34,38,42,46,50,54
LARGO PANTALON,56,62,68,74,80,86,92
ESTATURA,92,102,112,122,132,142,152